 < 00:00:28 >  84,6775360107422 35,0694427490234 50 
 < 00:00:29 >  85,6643371582031 35,0983772277832 50 
 < 00:00:30 >  86,6258316040039 35,1273155212402 50 
 < 00:00:31 >  87,4231414794922 35,1851844787598 50 
 < 00:00:32 >  88,4008712768555 35,2141189575195 50 
 < 00:00:33 >  89,1777877807617 35,2719917297363 50 
 < 00:00:34 >  90,1567840576172 35,3009262084961 50 
 < 00:00:35 >  90,9606246948242 35,3587951660156 50 
 < 00:00:36 >  91,7528915405273 35,4166679382324 50 
 < 00:00:37 >  92,7212371826172 35,4456024169922 50 
 < 00:00:38 >  93,3441696166992 35,5324058532715 50 
 < 00:00:39 >  94,2998886108398 35,5613403320313 50 
 < 00:00:40 >  95,0868148803711 35,619213104248 50 
 < 00:00:41 >  95,8698425292969 35,6770820617676 50 
 < 00:00:42 >  96,638801574707 35,7349548339844 50 
 < 00:00:43 >  97,416015625 35,7928237915039 50 
 < 00:00:44 >  98,2021255493164 35,8506927490234 50 
 < 00:00:45 >  98,9590530395508 35,9085655212402 50 
 < 00:00:46 >  99,7361068725586 35,9664344787598 50 
 < 00:00:47 >  100 36,0243034362793 50 
 < 00:00:48 >  100 36,0821762084961 50 
