 < 23:00:48 >  40 87,9999771118164 39,2939796447754 
 < 23:00:49 >  40 87,4800186157227 39,4097213745117 
 < 23:00:50 >  40 87,3061447143555 39,4675903320313 
 < 23:00:51 >  40 86,600471496582 39,6122665405273 
 < 23:00:52 >  40 86,2325973510742 39,6990737915039 
 < 23:00:53 >  40 85,9894256591797 39,7569427490234 
 < 23:00:54 >  40 85,9026870727539 39,7858772277832 
 < 23:00:55 >  40 85,4913482666016 39,8726844787598 
 < 23:00:56 >  40 85,3991317749023 39,9016189575195 
 < 23:00:57 >  40 84,9498748779297 39,9884262084961 
 < 23:00:58 >  40 84,6811065673828 40,0462951660156 
 < 23:00:59 >  40 84,5698165893555 40,0752296447754 
 < 23:01:00 >  40 84,2818603515625 40,1331024169922 
 < 23:01:01 >  40 83,997688293457 40,1909713745117 
 < 23:01:02 >  40 83,8559722900391 40,2199058532715 
 < 23:01:03 >  40 84,0283966064453 40,1909713745117 
 < 23:01:04 >  40 83,6990432739258 40,2488403320313 
 < 23:01:05 >  40 83,3856811523438 40,306713104248 
 < 23:01:06 >  40 83,1020278930664 40,3645820617676 
 < 23:01:07 >  40 82,7932357788086 40,4224548339844 
 < 23:01:08 >  40 82,4924697875977 40,4803237915039 
 < 23:01:09 >  40 82,1840057373047 40,5381927490234 
 < 23:01:10 >  40 81,8760604858398 40,5960655212402 
 < 23:01:11 >  40 81,732048034668 40,625 
 < 23:01:12 >  40 81,5595626831055 40,6539344787598 
 < 23:01:13 >  40 81,3943176269531 40,6828689575195 
 < 23:01:14 >  40 80,9009628295898 40,7696762084961 
 < 23:01:15 >  40 80,5792922973633 40,8275451660156 
 < 23:01:16 >  40 80,2388000488281 40,8854141235352 
 < 23:01:17 >  40 80,0698852539063 40,9143524169922 
 < 23:01:18 >  40 79,8732070922852 40,943286895752 
 < 23:01:19 >  40 79,525146484375 41,0011558532715 
 < 23:01:20 >  40 79,1693954467773 41,0590286254883 
 < 23:01:21 >  40 78,8378829956055 41,1168975830078 
 < 23:01:22 >  40 78,4782180786133 41,1747665405273 
 < 23:01:23 >  40 78,306640625 41,2037048339844 
 < 23:01:24 >  40 77,7920074462891 41,2905082702637 
 < 23:01:25 >  40 77,4350433349609 41,3483772277832 
 < 23:01:26 >  40 77,0711975097656 41,40625 
 < 23:01:27 >  40 76,5356826782227 41,4930534362793 
 < 23:01:28 >  40 76,1701965332031 41,5509262084961 
 < 23:01:29 >  40 75,8064270019531 41,6087951660156 
 < 23:01:30 >  40 75,4359664916992 41,6666641235352 
 < 23:01:31 >  40 74,8832855224609 41,7534713745117 
 < 23:01:32 >  40 74,495849609375 41,8113403320313 
 < 23:01:33 >  40 74,1062240600586 41,869213104248 
 < 23:01:34 >  40 73,7037887573242 41,9270820617676 
 < 23:01:35 >  40 73,3059692382813 41,9849548339844 
 < 23:01:36 >  40 73,0632934570313 42,0138893127441 
 < 23:01:37 >  40 72,6312408447266 42,0717582702637 
 < 23:01:38 >  40 72,3828964233398 42,1006927490234 
 < 23:01:39 >  40 71,9603424072266 42,1585655212402 
 < 23:01:40 >  40 71,5336303710938 42,2164344787598 
 < 23:01:41 >  40 71,0956344604492 42,2743034362793 
 < 23:01:42 >  40 70,6816787719727 42,3321762084961 
 < 23:01:43 >  40 70,0944747924805 42,4189796447754 
 < 23:01:44 >  40 69,6793060302734 42,4768524169922 
 < 23:01:45 >  40 69,2428817749023 42,5347213745117 
 < 23:01:46 >  40 68,7964706420898 42,5925903320313 
 < 23:01:47 >  40 68,35107421875 42,650463104248 
 < 23:01:48 >  40 67,755989074707 42,7372665405273 
 < 23:01:49 >  40 67,1572036743164 42,8240737915039 
 < 23:01:50 >  40 66,544677734375 42,9108772277832 
 < 23:01:51 >  40 65,9388046264648 42,9976844787598 
 < 23:01:52 >  40 65,3251647949219 43,0844917297363 
 < 23:01:53 >  40 64,8784408569336 43,1423606872559 
 < 23:01:54 >  40 64,0859832763672 43,2581024169922 
 < 23:01:55 >  40 63,4597663879395 43,3449058532715 
 < 23:01:56 >  40 62,965950012207 43,4027786254883 
 < 23:01:57 >  40 62,7919311523438 43,4027786254883 
