 < 17:06:44 >  440,610992431641 21,9020900726318 440 
 < 17:06:45 >  440,724609375 21,8605995178223 440 
 < 17:06:46 >  440,724609375 21,8605995178223 440 
 < 17:06:47 >  441,317657470703 21,5601921081543 440 
 < 17:06:48 >  441,444610595703 21,5601921081543 440 
 < 17:06:49 >  441,444610595703 21,5601921081543 440 
 < 17:06:50 >  441,444610595703 21,3884048461914 440 
 < 17:06:51 >  440,758514404297 21,6018905639648 440 
 < 17:06:52 >  440,758514404297 21,6018905639648 440 
 < 17:06:53 >  440,415710449219 21,6341018676758 440 
 < 17:06:54 >  440,415710449219 21,6341018676758 440 
 < 17:06:55 >  440,286987304688 21,9636917114258 440 
 < 17:06:56 >  440,286987304688 21,9636917114258 440 
 < 17:06:57 >  440,001068115234 22,2734279632568 440 
 < 17:06:58 >  439,273864746094 22,499210357666 440 
 < 17:06:59 >  439,273864746094 22,499210357666 440 
 < 17:07:00 >  439,273864746094 22,499210357666 440 
 < 17:07:01 >  439,592437744141 22,7105045318604 440 
 < 17:07:02 >  439,592437744141 22,7105045318604 440 
 < 17:07:03 >  439,744140625 22,6699085235596 440 
 < 17:07:04 >  439,800964355469 22,5238170623779 440 
 < 17:07:05 >  439,800964355469 22,5238170623779 440 
 < 17:07:06 >  439,800964355469 22,5238170623779 440 
 < 17:07:07 >  440,119537353516 22,4122219085693 440 
 < 17:07:08 >  440,119537353516 22,4122219085693 440 
 < 17:07:09 >  439,955718994141 22,1613159179688 440 
 < 17:07:10 >  439,955718994141 22,3489074707031 440 
 < 17:07:11 >  439,955718994141 22,3489074707031 440 
 < 17:07:12 >  439,955718994141 22,3489074707031 440 
 < 17:07:13 >  439,204345703125 22,3855743408203 440 
 < 17:07:14 >  439,078002929688 22,8041954040527 440 
 < 17:07:15 >  439,078002929688 22,8041954040527 440 
 < 17:07:16 >  438,731018066406 22,8041954040527 440 
 < 17:07:17 >  438,731018066406 22,8906097412109 440 
 < 17:07:18 >  438,731018066406 22,8906097412109 440 
 < 17:07:19 >  438,674194335938 23,1221923828125 440 
 < 17:07:20 >  438,045501708984 23,2011375427246 440 
 < 17:07:21 >  438,045501708984 23,2011375427246 440 
 < 17:07:22 >  438,045501708984 23,2011375427246 440 
 < 17:07:23 >  438,619171142578 23,4175357818604 440 
 < 17:07:24 >  438,619171142578 23,4175357818604 440 
 < 17:07:25 >  439,078002929688 23,0293998718262 440 
 < 17:07:26 >  438,854339599609 23,1078147888184 440 
 < 17:07:27 >  438,854339599609 23,1078147888184 440 
 < 17:07:28 >  438,854339599609 23,1078147888184 440 
 < 17:07:29 >  438,854339599609 23,1569938659668 440 
 < 17:07:30 >  439,084045410156 22,8889255523682 440 
 < 17:07:31 >  439,084045410156 22,8889255523682 440 
 < 17:07:32 >  438,969787597656 22,9699249267578 440 
 < 17:07:33 >  438,969787597656 22,9699249267578 440 
 < 17:07:34 >  438,969787597656 22,9699249267578 440 
 < 17:07:35 >  439,032043457031 23,0108203887939 440 
 < 17:07:36 >  439,256927490234 23,0153656005859 440 
 < 17:07:37 >  439,256927490234 23,0153656005859 440 
 < 17:07:38 >  439,42919921875 22,7943725585938 440 
 < 17:07:39 >  439,42919921875 22,7943725585938 440 
 < 17:07:40 >  439,42919921875 22,7943725585938 440 
 < 17:07:41 >  439,874084472656 22,4743194580078 440 
 < 17:07:42 >  439,979919433594 22,475040435791 440 
 < 17:07:43 >  439,979919433594 22,475040435791 440 
 < 17:07:44 >  439,752014160156 22,4755191802979 440 
 < 17:07:45 >  439,752014160156 22,4755191802979 440 
 < 17:07:46 >  439,752014160156 22,4755191802979 440 
 < 17:07:47 >  439,497528076172 22,7623405456543 440 
 < 17:07:48 >  439,241821289063 22,8063583374023 440 
 < 17:07:49 >  439,241821289063 22,8063583374023 440 
 < 17:07:51 >  438,780578613281 22,8063583374023 440 
 < 17:07:52 >  438,780578613281 23,2277336120605 440 
 < 17:07:53 >  438,408203125 23,1964225769043 440 
 < 17:07:54 >  438,408203125 23,1964225769043 440 
 < 17:07:55 >  438,282470703125 23,4915313720703 440 
 < 17:07:56 >  438,282470703125 23,4915313720703 440 
 < 17:07:57 >  438,511016845703 23,4915313720703 440 
 < 17:07:58 >  438,511016845703 23,3500957489014 440 
 < 17:07:59 >  439,198913574219 23,2818813323975 440 
 < 17:08:00 >  439,198913574219 23,2818813323975 440 
 < 17:08:01 >  439,007263183594 22,8296928405762 440 
 < 17:08:02 >  439,068939208984 22,8296928405762 440 
 < 17:08:03 >  439,068939208984 22,8296928405762 440 
 < 17:08:04 >  439,068939208984 23,0415344238281 440 
 < 17:08:05 >  438,895446777344 23,1552658081055 440 
 < 17:08:06 >  438,895446777344 23,1552658081055 440 
 < 17:08:07 >  438,954681396484 23,0107841491699 440 
 < 17:08:08 >  438,954681396484 23,0107841491699 440 
 < 17:08:09 >  438,764831542969 23,2971363067627 440 
 < 17:08:10 >  438,764831542969 23,2971363067627 440 
 < 17:08:11 >  438,892425537109 23,1364669799805 440 
 < 17:08:12 >  438,777557373047 23,1032276153564 440 
 < 17:08:13 >  438,777557373047 23,1032276153564 440 
 < 17:08:14 >  438,777557373047 23,1032276153564 440 
 < 17:08:15 >  438,714660644531 23,0961494445801 440 
 < 17:08:16 >  438,714660644531 23,0961494445801 440 
 < 17:08:17 >  438,527313232422 23,3509120941162 440 
 < 17:08:18 >  438,473510742188 23,4320869445801 440 
 < 17:08:19 >  438,473510742188 23,4320869445801 440 
 < 17:08:20 >  438,473510742188 23,4320869445801 440 
 < 17:08:21 >  438,153717041016 23,4816665649414 440 
 < 17:08:22 >  438,153717041016 23,4816665649414 440 
 < 17:08:23 >  438,218414306641 23,4894905090332 440 
 < 17:08:24 >  438,218414306641 23,7719058990479 440 
 < 17:08:25 >  438,218414306641 23,7719058990479 440 
 < 17:08:26 >  438,218414306641 23,7719058990479 440 
 < 17:08:27 >  438,229888916016 23,7055473327637 440 
 < 17:08:28 >  438,167633056641 23,7967796325684 440 
 < 17:08:29 >  438,167633056641 23,7967796325684 440 
 < 17:08:30 >  437,937347412109 23,7967796325684 440 
 < 17:08:31 >  437,937347412109 23,6421375274658 440 
 < 17:08:32 >  437,937347412109 23,6421375274658 440 
 < 17:08:33 >  437,485137939453 23,8008804321289 440 
 < 17:08:34 >  437,612701416016 24,1447505950928 440 
 < 17:08:35 >  437,612701416016 24,1447505950928 440 
 < 17:08:36 >  437,381164550781 24,1447505950928 440 
 < 17:08:37 >  437,381164550781 24,2237930297852 440 
 < 17:08:38 >  437,381164550781 24,2237930297852 440 
 < 17:08:39 >  437,726348876953 24,0043811798096 440 
 < 17:08:40 >  438,171844482422 23,7703495025635 440 
 < 17:08:41 >  438,171844482422 23,7703495025635 440 
