 < 15:55:41 >  396,289184570313 15,3536319732666 400 
 < 15:55:42 >  395,657470703125 15,7414588928223 400 
 < 15:55:43 >  395,657470703125 16,0796432495117 400 
 < 15:55:44 >  395,657470703125 16,0796432495117 400 
 < 15:55:45 >  394,615936279297 16,0796432495117 400 
 < 15:55:46 >  394,734405517578 16,2045955657959 400 
 < 15:55:47 >  394,734405517578 16,2045955657959 400 
 < 15:55:48 >  394,734405517578 16,5643310546875 400 
 < 15:55:49 >  393,975799560547 16,4983901977539 400 
 < 15:55:50 >  393,975799560547 16,4983901977539 400 
 < 15:55:51 >  393,020660400391 16,4983901977539 400 
 < 15:55:52 >  393,079895019531 16,9481506347656 400 
 < 15:55:53 >  393,079895019531 16,9481506347656 400 
 < 15:55:54 >  393,079895019531 17,4222316741943 400 
 < 15:55:55 >  393,206237792969 17,4018383026123 400 
 < 15:55:56 >  393,206237792969 17,4018383026123 400 
 < 15:55:57 >  393,263702392578 17,4018383026123 400 
 < 15:55:58 >  393,147613525391 17,5127086639404 400 
 < 15:55:59 >  393,147613525391 17,6993789672852 400 
 < 15:56:00 >  393,147613525391 17,6993789672852 400 
 < 15:56:01 >  393,020660400391 17,937255859375 400 
 < 15:56:02 >  393,020660400391 17,937255859375 400 
 < 15:56:03 >  393,020660400391 17,937255859375 400 
 < 15:56:04 >  392,966247558594 18,0658168792725 400 
 < 15:56:05 >  392,966247558594 18,2866191864014 400 
 < 15:56:06 >  392,966247558594 18,2866191864014 400 
 < 15:56:07 >  393,206237792969 18,4769477844238 400 
 < 15:56:08 >  393,396667480469 18,4769477844238 400 
 < 15:56:09 >  393,396667480469 18,4769477844238 400 
 < 15:56:10 >  393,686218261719 18,5598754882813 400 
 < 15:56:12 >  393,686218261719 18,6619338989258 400 
 < 15:56:13 >  393,686218261719 18,6619338989258 400 
 < 15:56:14 >  393,938293457031 18,82958984375 400 
 < 15:56:15 >  394,381378173828 18,82958984375 400 
 < 15:56:16 >  394,381378173828 18,82958984375 400 
 < 15:56:17 >  395,3056640625 18,8568019866943 400 
 < 15:56:18 >  395,3056640625 18,8846435546875 400 
 < 15:56:19 >  395,3056640625 18,8846435546875 400 
 < 15:56:20 >  395,538421630859 18,6714172363281 400 
 < 15:56:21 >  396,423370361328 18,6714172363281 400 
 < 15:56:22 >  396,423370361328 18,9037628173828 400 
 < 15:56:23 >  396,423370361328 18,9037628173828 400 
 < 15:56:24 >  397,136077880859 18,8208351135254 400 
 < 15:56:25 >  397,483642578125 18,8208351135254 400 
 < 15:56:26 >  397,483642578125 18,8208351135254 400 
 < 15:56:27 >  398,1171875 18,6708240509033 400 
 < 15:56:28 >  398,496215820313 18,733865737915 400 
 < 15:56:29 >  398,496215820313 18,733865737915 400 
 < 15:56:30 >  398,496215820313 18,6609592437744 400 
 < 15:56:31 >  399,129730224609 18,6609592437744 400 
 < 15:56:32 >  399,129730224609 18,6609592437744 400 
 < 15:56:33 >  399,305633544922 18,6412925720215 400 
 < 15:56:34 >  399,305633544922 18,5195598602295 400 
 < 15:56:35 >  399,305633544922 18,5195598602295 400 
 < 15:56:36 >  400,315734863281 18,5164356231689 400 
 < 15:56:37 >  400,695983886719 18,5164356231689 400 
 < 15:56:38 >  401,736328125 18,2386932373047 400 
 < 15:56:39 >  401,736328125 18,2386932373047 400 
 < 15:56:40 >  401,736328125 18,1538467407227 400 
 < 15:56:41 >  401,736328125 18,1538467407227 400 
 < 15:56:42 >  402,610412597656 17,890811920166 400 
